feature,importance
rolling_speed_ratio_min_15m,0.10281534021744815
rolling_speed_ratio_min_30m,0.09830224888690231
current_speed_ratio,0.09809429384466668
rolling_speed_ratio_min_60m,0.08904404396290978
current_speed_mph,0.08838209814091948
lag_speed_ratio_5m,0.05639981659791689
historical_period_congestion_rate_train,0.05086646249254396
rolling_speed_ratio_mean_30m,0.04918464772101953
rolling_speed_ratio_mean_15m,0.04653423416053973
lag_speed_ratio_10m,0.042452490051282335
rolling_speed_ratio_mean_60m,0.03645100530008697
lag_speed_ratio_30m,0.027417996735060946
lag_speed_ratio_15m,0.025924495962372715
historical_period_median_speed_mph_train,0.023653735468808768
lag_speed_ratio_60m,0.023199874557133494
rolling_speed_ratio_std_60m,0.019280334746949443
hour,0.018802329348201616
deviation_from_historical_median_mph,0.01848563567195803
hour_cos,0.018056938294182014
trend_speed_mph_per_min_30m,0.01122634801418978
rolling_speed_ratio_std_30m,0.010335338832478412
trend_speed_mph_per_min_15m,0.008994061328339036
trend_speed_mph_per_min_10m,0.0066712045110431765
sensor_id (one-hot),0.006640100705013185
hour_sin,0.00647960696085048
speed_change_5m,0.004329130546565145
rolling_speed_ratio_std_15m,0.0037517716775136165
free_flow_speed_train_mph,0.002397241343882482
day_of_week_cos,0.0013944672058252546
day_of_week_sin,0.001276807078218614
day_of_week,0.0012314680906686797
consecutive_decline_steps,0.0011370311856879478
is_weekend,0.0007874003588213653
