model,accuracy,precision,recall,f1,roc_auc,threshold,validation_f1,validation_recall,validation_roc_auc
Logistic Regression,0.9657413344167397,0.8510541226682365,0.8580182800166182,0.8545220125089125,0.9846067661639257,0.8599999999999995,0.8527554885748034,0.858215685309984,0.984844427023007
Random Forest,0.9658874898756895,0.8357088165668004,0.8826117276989732,0.858520146202945,0.9870598085695121,0.7399999999999997,0.8580460274759925,0.881253381868267,0.9878893534266249
XGBoost,0.967991954489974,0.855103342319622,0.8753783607335747,0.865122076398563,0.9887020250930261,0.8499999999999996,0.8644015718744441,0.8764490793119846,0.989385762373912
